Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.50778E-10,0.000000015,0.000000102,1,0,0
2.19878E-10,0.000000037,0.000000148,0.999901497,0,0
5.14194E-10,0.000000119,0.000000347,0.999704492,0,0
6.59195E-10,0.000000307,0.000000444,0.999408983,0,0
1.36954E-9,0.000001041,0.000000923,0.998719464,0,0
2.00445E-9,0.000002577,0.000001351,0.997832939,0,0
4.03664E-9,0.000010309,0.00000272,0.995567376,0,0
6.29199E-9,0.000025449,0.00000424,0.992710796,0,0
8.90025E-9,0.000050756,0.000005998,0.989460205,0,0
1.17408E-8,0.000100604,0.000007912,0.984732072,0,0
1.97436E-8,0.000251361,0.000013305,0.975177305,0,0
2.92418E-8,0.000500164,0.000019705,0.965130024,0,0
4.35949E-8,0.001001433,0.000029377,0.95143814,0,0
7.1123E-8,0.002505145,0.000047927,0.92572892,0,0
1.14162E-7,0.005005784,0.000076928,0.89893617,0,0
1.97596E-7,0.01001127,0.000133147,0.866627266,0,0
3.59411E-7,0.025029835,0.00024217,0.812746257,0,0
5.98114E-7,0.050055371,0.000402974,0.760441292,0,0
9.86526E-7,0.100033656,0.000664577,0.697005516,0,0
1.67521E-6,0.200046004,0.001128247,0.621847912,0,0
2.27174E-6,0.300111066,0.001529706,0.571611505,0,0
2.91301E-6,0.400212959,0.001961089,0.533195429,0,0
3.53314E-6,0.500122534,0.002378068,0.502659574,0,0
4.07983E-6,0.60032989,0.002745531,0.476654846,0,0
4.66925E-6,0.700349933,0.003141559,0.453999212,0,0
5.01144E-6,0.750068559,0.0033714,0.443853428,0,0
5.35228E-6,0.800178514,0.003600284,0.43429866,0,0
5.97966E-6,0.90010953,0.004021453,0.416962175,0,0
6.66755E-6,1.00034966,0.004483032,0.401300236,0,0
7.34765E-6,1.100351323,0.004939175,0.387214342,0,0
8.02766E-6,1.200409224,0.005395052,0.374408983,0,0
8.71627E-6,1.300587096,0.005856478,0.362588652,0,0
9.39583E-6,1.400071255,0.006311632,0.351753349,0,0
1.00699E-5,1.500270679,0.00676291,0.341607565,0,0
1.1717E-5,1.750931934,0.00786474,0.318853428,0,0
1.32144E-5,2.000611586,0.008865348,0.299152876,0,0
1.48369E-5,2.250719585,0.009948409,0.281619385,0,0
1.63718E-5,2.500766288,0.010971947,0.265760441,0.006329114,0
