Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.28569E-13,0.000000001,0,0.983995427,0,0
4.11795E-13,0.000000003,0.000000001,0.979327427,0,0
1.26198E-12,0.00000001,0.000000002,0.970181957,0,0
3.02626E-12,0.000000025,0.000000005,0.963513385,0,0
1.00239E-11,0.000000101,0.000000016,0.951128894,0,0
2.19526E-11,0.000000251,0.000000034,0.941697628,0,0
7.50301E-11,0.000001,0.000000118,0.92578832,0,0
1.74291E-10,0.000002507,0.000000274,0.913880156,0,0
6.30913E-10,0.000010022,0.00000099,0.893969706,0,0
1.4096E-9,0.000025131,0.000002212,0.879394113,0,0
2.35065E-9,0.000050028,0.000003689,0.866914356,0,0
4.29842E-9,0.000100258,0.000006746,0.852243498,0,0
9.56463E-9,0.00025023,0.000015011,0.830904068,0,0
1.82721E-8,0.000500973,0.000028677,0.813184719,0,0
3.54982E-8,0.001001444,0.000055713,0.794989044,0,0
7.23495E-8,0.00250379,0.000113545,0.767457369,0,0
1.2759E-7,0.005011522,0.000200231,0.742878918,0,0
2.08498E-7,0.010006656,0.000327183,0.713822997,0,0
4.53074E-7,0.025026205,0.000710843,0.668476708,0,0
8.03853E-7,0.050017587,0.001260845,0.629513194,0,0
1.36263E-6,0.100094861,0.002136355,0.584547966,0,0
2.33441E-6,0.200076366,0.003657131,0.532342574,0,0
3.28425E-6,0.300087822,0.005141347,0.498047061,0,0
4.21873E-6,0.400299635,0.006599388,0.472515957,0.001960784,0.002617801
5.19655E-6,0.500497202,0.008122779,0.45212918,0.001960784,0.002617801
6.06642E-6,0.600558879,0.009476008,0.435267219,0.001960784,0.002617801
7.13388E-6,0.700615844,0.011134123,0.420882157,0.001960784,0.002617801
7.60167E-6,0.750636196,0.011859862,0.414404115,0.001960784,0.002617801
8.14071E-6,0.800215839,0.012695497,0.408402401,0.001960784,0.002617801
8.93209E-6,0.900869036,0.013921034,0.397161094,0.001960784,0.002617801
9.85691E-6,1.000001412,0.015351295,0.38706297,0.001960784,0.002617801
1.0681E-5,1.100929753,0.016624056,0.37772697,0.003921569,0.003054101
1.16477E-5,1.200992852,0.018114928,0.369153091,0.003921569,0.003054101
1.25032E-5,1.300181395,0.019432385,0.361341336,0.003921569,0.003054101
1.31562E-5,1.400203896,0.020436819,0.353910641,0.005882353,0.003490401
1.38796E-5,1.500292841,0.021548435,0.346861008,0.007843137,0.003926702
1.57924E-5,1.750142116,0.024481381,0.33076117,0.009803922,0.003926702
1.79269E-5,2.000542332,0.027744038,0.316661903,0.011764706,0.003926702
2.00544E-5,2.25104539,0.030985074,0.304086882,0.011764706,0.003926702
2.20074E-5,2.500459561,0.033950727,0.29275031,0.011764706,0.003926702
2.43991E-5,2.750655207,0.037570281,0.282461656,0.01372549,0.013961606
2.65048E-5,3.000100808,0.040745771,0.273125655,0.01372549,0.013961606
2.86127E-5,3.251275518,0.043914023,0.264456511,0.015686275,0.013961606
3.08277E-5,3.50071892,0.047231967,0.256454225,0.015686275,0.013961606
3.2818E-5,3.752461296,0.050203529,0.248928265,0.019607843,0.02486911
3.45754E-5,4.002466849,0.052819754,0.241878632,0.023529412,0.02486911
3.61661E-5,4.250080839,0.055181412,0.23521006,0.023529412,0.02486911
3.804E-5,4.502271763,0.05795613,0.228732019,0.023529412,0.02486911
4.00734E-5,4.752174783,0.060957738,0.222635039,0.025490196,0.028359511
4.16577E-5,5.001824309,0.063289878,0.216823854,0.02745098,0.028359511
4.38874E-5,5.254096997,0.066562173,0.211203201,0.029411765,0.028359511
4.61648E-5,5.501323296,0.069892714,0.205963609,0.033333333,0.030541012
4.86155E-5,5.752481347,0.07346326,0.200914547,0.035294118,0.030977312
5.05414E-5,6.000387053,0.076259745,0.196151281,0.037254902,0.031413613
5.25346E-5,6.253570257,0.079144962,0.191483281,0.037254902,0.031413613
5.50848E-5,6.501209983,0.082823245,0.187101076,0.037254902,0.031413613
5.73929E-5,6.754697867,0.086139872,0.182814137,0.039215686,0.043630017
6.0231E-5,7.00127363,0.090201493,0.178812994,0.041176471,0.046684119
6.31128E-5,7.254957933,0.09430709,0.174907116,0.045098039,0.046684119
6.62991E-5,7.50089966,0.098825122,0.171287034,0.045098039,0.046684119
6.9242E-5,7.752723415,0.102977895,0.167762218,0.045098039,0.046684119
7.19803E-5,8.000362605,0.106824823,0.164427932,0.045098039,0.047120419
7.46958E-5,8.250122561,0.11062329,0.161188911,0.045098039,0.047120419
7.77581E-5,8.501700093,0.114887596,0.158045156,0.045098039,0.047120419
8.06606E-5,8.755132873,0.118910597,0.154996666,0.047058824,0.047120419
8.3575E-5,9.002395342,0.122931519,0.152138706,0.049019608,0.04973822
8.57709E-5,9.255699145,0.125949202,0.149280747,0.052941176,0.053228621
8.82777E-5,9.500400536,0.12938128,0.146613318,0.054901961,0.053664921
9.10128E-5,9.751223101,0.133110528,0.143945889,0.058823529,0.066317627
9.42003E-5,10.001414455,0.137436599,0.141373726,0.060784314,0.066317627
9.81313E-5,10.251190801,0.142741876,0.138896828,0.062745098,0.066753927
1.02231E-4,10.501119778,0.148240082,0.136515195,0.062745098,0.066753927
1.05438E-4,10.750745115,0.152516842,0.134228827,0.064705882,0.068935428
1.07775E-4,11.006850389,0.155618906,0.13194246,0.064705882,0.068935428
1.11543E-4,11.259071024,0.160597824,0.129751358,0.064705882,0.068935428
1.16062E-4,11.51009437,0.166530787,0.127655521,0.064705882,0.068935428
1.19906E-4,11.758514361,0.171543334,0.125654949,0.064705882,0.068935428
1.23744E-4,12.00252412,0.176519298,0.123749643,0.064705882,0.068935428
1.28587E-4,12.255779734,0.182754697,0.121844336,0.064705882,0.068935428
1.32135E-4,12.503839565,0.187292799,0.120034296,0.064705882,0.068935428
1.36415E-4,12.759339222,0.192734418,0.118224255,0.068627451,0.069808028
1.41524E-4,13.010089391,0.199181685,0.116509479,0.068627451,0.069808028
1.45014E-4,13.253918013,0.203556052,0.114889969,0.068627451,0.069808028
1.48957E-4,13.503352373,0.208469972,0.113270458,0.068627451,0.069808028
1.52232E-4,13.75950146,0.212527662,0.111650948,0.070588235,0.071116928
1.59321E-4,14.007894439,0.221240886,0.110126703,0.076470588,0.072425829
1.62943E-4,14.250229879,0.225654674,0.108697723,0.078431373,0.073298429
1.66663E-4,14.514574533,0.230162463,0.107173478,0.078431373,0.073298429
1.7229E-4,14.75129104,0.236931833,0.105839764,0.080392157,0.073298429
1.75147E-4,15.012013515,0.240345999,0.104410784,0.082352941,0.073734729
1.77831E-4,15.259508265,0.243539371,0.10307707,0.084313725,0.073734729
1.81338E-4,15.510976569,0.247690818,0.101743355,0.084313725,0.073734729
1.85874E-4,15.767950281,0.253028587,0.100409641,0.090196078,0.101657941
1.90585E-4,16.013011464,0.258530728,0.099171192,0.094117647,0.109947644
1.96522E-4,16.265896332,0.265408291,0.097932743,0.094117647,0.109947644
2.02052E-4,16.505444896,0.27175567,0.096789559,0.094117647,0.109947644
2.07897E-4,16.752229375,0.27840625,0.095646375,0.094117647,0.109947644
2.11682E-4,17.003900303,0.282679578,0.094503191,0.096078431,0.110383944
2.17163E-4,17.261474606,0.288823678,0.093360008,0.098039216,0.119982548
2.21731E-4,17.503539086,0.293904112,0.092312089,0.098039216,0.119982548
2.2674E-4,17.772514893,0.299433841,0.091168905,0.101960784,0.123036649
2.3313E-4,18.003957155,0.306424405,0.090216252,0.103921569,0.123036649
2.40859E-4,18.266662981,0.314787699,0.089168334,0.105882353,0.123472949
2.432E-4,18.508682813,0.317299958,0.088215681,0.109803922,0.123472949
2.50814E-4,18.751027468,0.325409755,0.087263028,0.115686275,0.12565445
2.56631E-4,19.009501984,0.331540511,0.086310374,0.119607843,0.12609075
2.64169E-4,19.269760647,0.339403037,0.085357721,0.119607843,0.12609075
2.66394E-4,19.508670347,0.341705644,0.084500333,0.123529412,0.126527051
2.70599E-4,19.750624274,0.346035668,0.083642946,0.123529412,0.126527051
2.77014E-4,20.024154067,0.35258718,0.082690292,0.123529412,0.126527051
2.81612E-4,20.275773921,0.357242538,0.081832905,0.123529412,0.126527051
2.83533E-4,20.501888703,0.359177839,0.081070782,0.123529412,0.126527051
2.88181E-4,20.759552348,0.363835525,0.080213394,0.123529412,0.126527051
2.99681E-4,21.026771052,0.375214453,0.079356006,0.125490196,0.126527051
3.0157E-4,21.267398562,0.377064029,0.078593884,0.131372549,0.132198953
3.04005E-4,21.509697109,0.379439737,0.077831761,0.133333333,0.133944154
3.07378E-4,21.75447816,0.382716589,0.077069639,0.135294118,0.136125654
3.12378E-4,22.002714522,0.387541782,0.076307516,0.139215686,0.140052356
3.15806E-4,22.254034681,0.390827802,0.075545394,0.141176471,0.140488656
3.20845E-4,22.509593905,0.395627336,0.074783271,0.145098039,0.141797557
3.2415E-4,22.76787603,0.398753345,0.074021149,0.147058824,0.141797557
3.29714E-4,23.029885879,0.403981534,0.073259026,0.149019608,0.141797557
3.33843E-4,23.262068996,0.407831289,0.072592169,0.150980392,0.141797557
3.37756E-4,23.53107863,0.411457081,0.071830047,0.156862745,0.143106457
3.41224E-4,23.768923644,0.414652151,0.071163189,0.158823529,0.143106457
3.46413E-4,24.009911295,0.419399763,0.070496332,0.162745098,0.144415358
3.49998E-4,24.253767816,0.422657111,0.069829475,0.162745098,0.145287958
3.55925E-4,24.500816126,0.428003027,0.069162618,0.164705882,0.145287958
3.64169E-4,24.752632317,0.435356453,0.068495761,0.164705882,0.145724258
3.68324E-4,25.009302049,0.439026671,0.067828903,0.166666667,0.147469459
3.7254E-4,25.269333814,0.442726223,0.067162046,0.168627451,0.147905759
3.76327E-4,25.53186814,0.446028446,0.066495189,0.170588235,0.147905759
3.80663E-4,25.758828384,0.44978554,0.065923597,0.170588235,0.147905759
3.87942E-4,26.027495961,0.456036028,0.06525674,0.17254902,0.14877836
3.91049E-4,26.261220662,0.458681658,0.064685148,0.174509804,0.14877836
3.98541E-4,26.53842645,0.465009627,0.064018291,0.176470588,0.152705061
