Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.84218E-12,0.000000001,0.000000001,0.999410898,0,0
2.28883E-12,0.000000003,0.000000001,0.99862543,0,0
4.0825E-12,0.00000001,0.000000003,0.996269023,0,0
7.67916E-12,0.000000025,0.000000005,0.993814433,0,0
2.17377E-11,0.000000101,0.000000014,0.988512518,0,0
5.09714E-11,0.000000254,0.000000032,0.98419244,0,0
1.11997E-10,0.000001007,0.000000071,0.975061365,0,0
2.05924E-10,0.000002504,0.00000013,0.965537555,0,0
4.53358E-10,0.000010026,0.000000286,0.943151694,0,0
8.62226E-10,0.000025012,0.000000543,0.920078547,0,0
1.33578E-9,0.000050052,0.000000841,0.897496318,0,0
2.2673E-9,0.000100196,0.000001428,0.869906726,0,0
4.8315E-9,0.000250135,0.000003044,0.827393225,0,0
8.92847E-9,0.000500614,0.000005624,0.790574374,0,0
1.62047E-8,0.00100049,0.000010208,0.750319097,0,0
3.52428E-8,0.002502081,0.000022201,0.691703486,0,0
6.29146E-8,0.005001333,0.000039632,0.640648012,0,0
1.1476E-7,0.010009361,0.000072289,0.583210604,0,0
2.56531E-7,0.025012796,0.000161587,0.499165439,0,0
5.07706E-7,0.050014497,0.000319775,0.433284242,0,0
1.05256E-6,0.100037607,0.000662836,0.366715758,0,0
2.36423E-6,0.200016412,0.001488221,0.305940108,0,0
3.88747E-6,0.300356386,0.002445892,0.273932253,0,0
5.25487E-6,0.400240718,0.003304799,0.252430044,0,0
6.54415E-6,0.500299216,0.004113962,0.235738832,0,0
8.03855E-6,0.600679557,0.005051034,0.222287678,0,0
9.61432E-6,0.700412066,0.006038175,0.211192931,0,0
1.00569E-5,0.750628034,0.00631523,0.206185567,0,0
1.09282E-5,0.800856634,0.006860495,0.201472754,0,0.000433276
1.25087E-5,0.900289475,0.007848816,0.193127148,0,0.000433276
1.39119E-5,1.000395453,0.008725444,0.185665194,0,0.000433276
1.54126E-5,1.100166288,0.009662118,0.178988709,0,0.000433276
1.71615E-5,1.200260318,0.010752553,0.172901325,0,0.000433276
1.85651E-5,1.301475823,0.011626843,0.16730486,0,0.000433276
1.9895E-5,1.401820676,0.012454531,0.162199313,0,0.000433276
2.14461E-5,1.501033436,0.013418998,0.1574865,0,0.000433276
2.55303E-5,1.750736567,0.015954005,0.146980854,0,0.000433276
3.09298E-5,2.000465726,0.019295465,0.13814433,0.005235602,0.000433276
3.66803E-5,2.250496631,0.022841619,0.130878743,0.005235602,0.000433276
4.11348E-5,2.502540448,0.025579766,0.124496809,0.005235602,0.000433276
4.58196E-5,2.750755473,0.028451219,0.118900344,0.005235602,0.000433276
5.20402E-5,3.000554744,0.032250885,0.11389298,0.010471204,0.001733102
5.85071E-5,3.253066702,0.036185278,0.109376534,0.010471204,0.001733102
6.42337E-5,3.505200464,0.039655896,0.105351006,0.010471204,0.001733102
7.03939E-5,3.753173565,0.043375364,0.101718213,0.010471204,0.001733102
7.67269E-5,4.006253414,0.047184174,0.098379971,0.015706806,0.00389948
8.17062E-5,4.251726622,0.050168133,0.095336279,0.015706806,0.00389948
8.839E-5,4.505878367,0.054158949,0.092390771,0.015706806,0.00389948
9.40662E-5,4.753422136,0.057534948,0.089739813,0.015706806,0.00389948
1.01771E-4,5.009391713,0.062098,0.08718704,0.015706806,0.00389948
1.10986E-4,5.256531018,0.067526686,0.084928817,0.015706806,0.00389948
1.17401E-4,5.507281054,0.0712875,0.082768778,0.015706806,0.004332756
1.26984E-4,5.750911502,0.076877092,0.080805106,0.015706806,0.004332756
1.37491E-4,6.003514774,0.082966855,0.078939617,0.015706806,0.004332756
1.42505E-4,6.25466713,0.085858608,0.077172312,0.015706806,0.004332756
1.47482E-4,6.501555082,0.088720274,0.075503191,0.015706806,0.004332756
1.54631E-4,6.75829131,0.092814925,0.07383407,0.015706806,0.004332756
1.61676E-4,7.01102746,0.096832241,0.072263132,0.015706806,0.004332756
1.73567E-4,7.263275432,0.103572296,0.070790378,0.015706806,0.004332756
1.80004E-4,7.511513989,0.107199619,0.069415808,0.020942408,0.006932409
1.91048E-4,7.753547557,0.113389411,0.068139421,0.020942408,0.006932409
1.98301E-4,8.006394074,0.117431096,0.066863034,0.02617801,0.006932409
2.05726E-4,8.269484353,0.121549301,0.065586647,0.02617801,0.006932409
2.12443E-4,8.520475961,0.125258557,0.064408444,0.031413613,0.006932409
2.18942E-4,8.757211873,0.128832597,0.063328424,0.031413613,0.006932409
2.2711E-4,9.002466173,0.133303805,0.062248405,0.031413613,0.006932409
2.35883E-4,9.25650799,0.138079927,0.061168385,0.031413613,0.006932409
2.47115E-4,9.52176317,0.144157104,0.060088365,0.031413613,0.006932409
2.5685E-4,9.773160053,0.149389493,0.059106529,0.031413613,0.006932409
2.67454E-4,10.009849192,0.155052853,0.058222877,0.031413613,0.006932409
2.78688E-4,10.256058155,0.161011273,0.057339224,0.031413613,0.006932409
2.87055E-4,10.512013255,0.165421623,0.056455572,0.031413613,0.006932409
2.95228E-4,10.774000717,0.169707358,0.055571919,0.031413613,0.006932409
3.10259E-4,11.015857739,0.17753186,0.054786451,0.041884817,0.006932409
3.15541E-4,11.266333521,0.180264077,0.054000982,0.041884817,0.006932409
3.26211E-4,11.524583067,0.185755476,0.053215513,0.041884817,0.006932409
3.30428E-4,11.754546723,0.187915816,0.052528228,0.041884817,0.006932409
3.35801E-4,12.021017871,0.190659524,0.051742759,0.047120419,0.006932409
3.42503E-4,12.2586392,0.194069237,0.051055474,0.052356021,0.006932409
3.52978E-4,12.503364007,0.199369867,0.050368189,0.052356021,0.006932409
3.58913E-4,12.752394167,0.202357667,0.049680903,0.052356021,0.006932409
3.69986E-4,13.009885263,0.207902085,0.048993618,0.052356021,0.006932409
3.83673E-4,13.274549852,0.214702501,0.048306333,0.052356021,0.007365685
3.88773E-4,13.506071257,0.217221101,0.047717231,0.057591623,0.008665511
3.9581E-4,13.780776557,0.220683596,0.047029946,0.057591623,0.008665511
4.02127E-4,14.019749716,0.223778734,0.046440844,0.057591623,0.008665511
4.1015E-4,14.263623507,0.227691692,0.045851743,0.057591623,0.008665511
4.22443E-4,14.513061022,0.233649319,0.045262641,0.057591623,0.008665511
4.28732E-4,14.768473856,0.236679135,0.04467354,0.057591623,0.008665511
4.36868E-4,15.029607202,0.240581245,0.044084438,0.057591623,0.008665511
4.43537E-4,15.250201064,0.243765331,0.04359352,0.057591623,0.008665511
4.54342E-4,15.520946242,0.248894967,0.043004418,0.062827225,0.008665511
4.614E-4,15.795999036,0.252227146,0.042415317,0.062827225,0.008665511
4.72814E-4,16.030477051,0.257584408,0.041924399,0.062827225,0.008665511
4.80055E-4,16.269234813,0.260963076,0.041433481,0.062827225,0.008665511
4.85487E-4,16.510989754,0.263488,0.040942563,0.068062827,0.009098787
4.92258E-4,16.755646805,0.26662281,0.040451645,0.073298429,0.009965338
5.00202E-4,17.004903017,0.270283276,0.039960727,0.073298429,0.009965338
5.1166E-4,17.258517633,0.275531661,0.039469809,0.078534031,0.009965338
5.1889E-4,17.516696399,0.278823662,0.038978891,0.078534031,0.009965338
5.25681E-4,17.778229063,0.281902189,0.038487973,0.083769634,0.009965338
5.341E-4,18.044795266,0.285700452,0.037997054,0.089005236,0.010398614
5.41243E-4,18.260297135,0.288907545,0.03760432,0.089005236,0.010398614
5.50829E-4,18.534488093,0.293188699,0.037113402,0.094240838,0.010398614
5.57679E-4,18.756509321,0.296231976,0.036720668,0.094240838,0.010398614
5.64938E-4,19.037938864,0.299442912,0.03622975,0.094240838,0.010398614
5.71389E-4,19.265751374,0.302283966,0.035837015,0.09947644,0.010398614
5.99856E-4,19.502642733,0.314684163,0.035444281,0.104712042,0.010398614
6.16902E-4,19.80817535,0.322003646,0.034953363,0.104712042,0.010398614
6.37607E-4,20.061216125,0.330789587,0.034560628,0.109947644,0.010398614
6.41117E-4,20.252992964,0.332267417,0.034266078,0.109947644,0.010398614
6.48931E-4,20.511710887,0.335546065,0.033873343,0.109947644,0.010398614
6.53142E-4,20.772590561,0.337306656,0.033480609,0.115183246,0.010398614
