Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.75658E-10,0.000000058,0.000001389,1,0,0
7.98458E-10,0.000000137,0.000001927,0.999907561,0,0
1.18049E-9,0.00000036,0.000002849,0.999722684,0,0
2.27252E-9,0.000001072,0.000005484,0.99935293,0,0
3.19601E-9,0.000002687,0.000007713,0.998798299,0,0
5.98402E-9,0.000010441,0.000014442,0.997319283,0,0
1.0968E-8,0.00002576,0.00002647,0.995655389,0,0
1.36084E-8,0.000050587,0.000032842,0.993806619,0,0
1.80211E-8,0.000101738,0.000043491,0.990848586,0,0
2.81906E-8,0.000251524,0.000068033,0.985024958,0,0
4.8366E-8,0.000500599,0.00011672,0.979108893,0,0
7.67043E-8,0.001001085,0.000185101,0.97171381,0,0
1.33346E-7,0.002503405,0.000321766,0.958402662,0,0
2.05632E-7,0.005010142,0.000496148,0.94472176,0,0
3.21189E-7,0.01000559,0.000774855,0.927343317,0,0
5.58681E-7,0.0250116,0.001347412,0.895914217,0.001194743,0.001727116
8.53338E-7,0.050083667,0.002057324,0.863283417,0.001194743,0.001727116
1.31771E-6,0.100040261,0.003175111,0.820391939,0.001194743,0.001727116
2.15353E-6,0.20017989,0.005183841,0.766222962,0.001194743,0.001727116
2.82599E-6,0.300144075,0.006797022,0.728877796,0.001194743,0.001727116
3.48537E-6,0.400137536,0.008376315,0.69975966,0.001194743,0.001727116
4.15726E-6,0.500147318,0.009982962,0.675448327,0.002389486,0.002158895
4.73883E-6,0.600302056,0.011371529,0.654557219,0.002389486,0.002158895
5.26068E-6,0.700144332,0.012615861,0.636069514,0.002389486,0.002158895
5.58285E-6,0.75055211,0.013383269,0.627472731,0.002389486,0.002158895
5.83039E-6,0.80003679,0.0139725,0.619430579,0.002389486,0.002158895
6.41633E-6,0.90042542,0.015365872,0.60427066,0.003584229,0.003022453
6.95029E-6,1.000586875,0.016633916,0.590404881,0.003584229,0.003022453
7.43282E-6,1.100399975,0.01777841,0.577555925,0.004778973,0.003022453
8.01506E-6,1.200751028,0.019157636,0.565538917,0.007168459,0.004749568
8.51503E-6,1.300848267,0.020340433,0.554353855,0.007168459,0.004749568
9.04872E-6,1.400867814,0.021601423,0.543815862,0.007168459,0.004749568
9.64763E-6,1.500820946,0.023014603,0.53392494,0.007168459,0.004749568
1.0786E-5,1.750009407,0.025695131,0.511369939,0.009557945,0.005181347
1.19958E-5,2.000530724,0.028535581,0.491033463,0.010752688,0.006044905
1.32015E-5,2.251257593,0.031358259,0.472638196,0.010752688,0.006044905
1.45656E-5,2.500980995,0.034541862,0.45599926,0.010752688,0.006044905
1.57375E-5,2.751430678,0.037268502,0.440746903,0.014336918,0.0082038
1.67528E-5,3.000982181,0.03962482,0.42651137,0.016726404,0.011226252
1.78801E-5,3.250468965,0.04223404,0.413200222,0.017921147,0.011226252
1.88598E-5,3.50018638,0.044495862,0.400628582,0.020310633,0.011226252
1.99857E-5,3.750567121,0.047088698,0.388704012,0.023894863,0.015544041
2.10045E-5,4.000962326,0.049428864,0.377426511,0.026284349,0.018134715
2.21127E-5,4.250878563,0.05196766,0.366703642,0.026284349,0.018134715
