Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.71033E-12,0.000000001,0.000000006,0.999260902,0,0
4.87274E-12,0.000000003,0.00000001,0.998891353,0,0
7.91709E-12,0.000000011,0.000000017,0.997782705,0,0
1.09526E-11,0.000000026,0.000000024,0.996304508,0,0
2.0805E-11,0.000000101,0.000000045,0.991962306,0,0
3.40001E-11,0.000000251,0.000000073,0.986881005,0,0
8.85872E-11,0.000001006,0.00000019,0.974778271,0,0
1.89344E-10,0.0000025,0.000000407,0.964523282,0,0
5.68536E-10,0.000010014,0.000001221,0.945583888,0,0
1.17092E-9,0.000025112,0.000002514,0.929046563,0,0
2.1167E-9,0.000050116,0.000004545,0.914449372,0,0
3.60072E-9,0.000100178,0.000007731,0.898004435,0,0
8.06364E-9,0.00025014,0.000017313,0.873798965,0,0
1.46615E-8,0.000500888,0.000031478,0.852919438,0,0
2.71834E-8,0.001002084,0.000058362,0.830007391,0,0
6.85365E-8,0.002505803,0.000147139,0.798872875,0,0
1.20953E-7,0.005003783,0.000259656,0.773928307,0,0
2.24908E-7,0.010021819,0.000482768,0.746119734,0,0
4.61853E-7,0.025015843,0.00099112,0.70436068,0,0
8.00179E-7,0.050027197,0.001716533,0.666943829,0,0
1.4159E-6,0.100078355,0.003035367,0.624538064,0,0
2.39924E-6,0.200223737,0.005137985,0.57594235,0,0
3.36477E-6,0.300202571,0.007198222,0.543699187,0.00118624,0
4.32208E-6,0.400131517,0.009236702,0.519493718,0.00118624,0
5.24527E-6,0.500254458,0.011198565,0.500184775,0.00118624,0
6.12208E-6,0.600324463,0.013058274,0.484016999,0.00118624,0
6.95846E-6,0.700393357,0.014828952,0.469881744,0.00118624,0
7.28894E-6,0.75022708,0.015527746,0.463414634,0.00118624,0
7.64583E-6,0.800243663,0.016281808,0.457224686,0.002372479,0.001422026
8.42237E-6,0.900800694,0.017920541,0.445676275,0.004744958,0.001738031
9.36933E-6,1.000443719,0.019915239,0.435328899,0.004744958,0.001738031
1.01322E-5,1.100591794,0.021519296,0.425813008,0.005931198,0.002054037
1.09727E-5,1.20102451,0.023283308,0.417036216,0.005931198,0.002054037
1.18065E-5,1.3000867,0.025030349,0.408998522,0.007117438,0.002054037
1.25821E-5,1.401170115,0.026652419,0.401330377,0.007117438,0.002054037
1.33364E-5,1.500922814,0.028227548,0.394216556,0.009489917,0.002054037
1.49886E-5,1.751495762,0.031668724,0.377864006,0.011862396,0.014852267
1.68547E-5,2.00081663,0.03554056,0.363359202,0.014234875,0.014852267
1.85474E-5,2.250594828,0.039039346,0.350332594,0.015421115,0.014852267
2.01906E-5,2.500707327,0.042423591,0.338414634,0.016607355,0.014852267
2.19123E-5,2.751394037,0.045956821,0.327420547,0.016607355,0.014852267
2.35682E-5,3.000605998,0.049342678,0.317257945,0.016607355,0.014852267
2.52274E-5,3.252179182,0.052723285,0.307742055,0.016607355,0.014852267
2.68545E-5,3.500058144,0.056026574,0.298965262,0.018979834,0.047084848
2.87982E-5,3.750597247,0.059957799,0.290650407,0.018979834,0.047084848
3.0608E-5,4.000060759,0.063603534,0.282889874,0.018979834,0.047084848
3.24107E-5,4.25265443,0.067220718,0.275498891,0.018979834,0.047084848
3.425E-5,4.500125107,0.07089704,0.268662232,0.022538553,0.04834887
3.63741E-5,4.750967307,0.075124543,0.262102735,0.023724792,0.04834887
3.84838E-5,5.001195664,0.07930431,0.255912786,0.024911032,0.04834887
4.06371E-5,5.253418065,0.083551208,0.25,0.024911032,0.04834887
4.23706E-5,5.502779778,0.086955622,0.244456763,0.027283511,0.049296887
4.43294E-5,5.750073637,0.090787606,0.239190687,0.029655991,0.04945489
4.7143E-5,6.001084003,0.09626335,0.234109387,0.029655991,0.04945489
4.93739E-5,6.252197068,0.100581723,0.229305248,0.029655991,0.049612893
