Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.01373E-11,0.000000002,0.000000039,1,0,0
2.17243E-11,0.000000004,0.000000043,0.99990845,0,0
2.51399E-11,0.000000012,0.000000049,0.9996338,0,0
3.29065E-11,0.000000027,0.000000064,0.999176051,0,0
5.8999E-11,0.000000105,0.000000116,0.997619702,0,0
9.5524E-11,0.000000253,0.000000187,0.995880253,0,0
1.69606E-10,0.000001014,0.000000332,0.990661906,0,0
2.64685E-10,0.000002518,0.000000518,0.98443651,0,0
5.94061E-10,0.000010032,0.000001163,0.967774421,0,0
9.87051E-10,0.000025007,0.000001933,0.950105282,0,0
1.61267E-9,0.000050095,0.000003158,0.932253044,0,0
2.7455E-9,0.00010026,0.000005376,0.910830358,0,0
5.83675E-9,0.000250263,0.000011428,0.87668223,0,0
1.04096E-8,0.000500223,0.000020381,0.847569349,0,0
1.86844E-8,0.001000723,0.000036583,0.81561842,0,0
4.30199E-8,0.002503772,0.000084228,0.768104001,0,0
8.6438E-8,0.00500086,0.000169228,0.731209375,0,0
1.71861E-7,0.010015727,0.000336439,0.693948549,0,0
3.88725E-7,0.025002457,0.000760819,0.643046782,0,0
7.08071E-7,0.050041466,0.001385413,0.60010986,0,0
1.28319E-6,0.100053179,0.002509275,0.552595441,0.001064963,0
2.32369E-6,0.200212234,0.004539345,0.500228875,0.001064963,0
3.31799E-6,0.300220144,0.00647543,0.467545546,0.001064963,0
4.25487E-6,0.400272696,0.008296249,0.443284812,0.001064963,0
5.11218E-6,0.500450579,0.009959508,0.423601575,0.001064963,0
5.96962E-6,0.600282461,0.011620225,0.407122585,0.003194888,0.000328623
6.81107E-6,0.70051199,0.013247261,0.392749245,0.004259851,0.000328623
7.14353E-6,0.750032739,0.013889376,0.386249199,0.004259851,0.000328623
7.49656E-6,0.800631649,0.014570749,0.379932253,0.004259851,0.000328623
8.33861E-6,0.900273132,0.016194095,0.368396961,0.004259851,0.000328623
9.08294E-6,1.000097497,0.017626819,0.357868717,0.004259851,0.000328623
9.70806E-6,1.100875855,0.018828451,0.348072874,0.004259851,0.000328623
1.04132E-5,1.200465654,0.020182211,0.33900943,0.005324814,0.004929346
1.11513E-5,1.300756754,0.021597127,0.330495285,0.006389776,0.004929346
1.19735E-5,1.400161658,0.023170899,0.32262199,0.006389776,0.004929346
1.27448E-5,1.500233688,0.024645026,0.315206445,0.006389776,0.004929346
1.49683E-5,1.751093252,0.028881913,0.298635906,0.007454739,0.005915215
1.72458E-5,2.00053128,0.033202729,0.284445665,0.01171459,0.006243838
1.9116E-5,2.250247747,0.036736631,0.271811773,0.012779553,0.006243838
2.14519E-5,2.500000742,0.041132133,0.260551131,0.014909478,0.008215577
2.36028E-5,2.751905634,0.045161663,0.250297537,0.019169329,0.0085442
2.66144E-5,3.001415811,0.050775515,0.241234093,0.019169329,0.008872823
2.96134E-5,3.252733372,0.056332854,0.232994599,0.019169329,0.008872823
3.28208E-5,3.502668647,0.06224041,0.225670603,0.019169329,0.008872823
3.59499E-5,3.752921308,0.067968246,0.218987458,0.019169329,0.008872823
3.99553E-5,4.003276009,0.075248946,0.212945162,0.019169329,0.008872823
4.32759E-5,4.253673781,0.081241857,0.207452165,0.02342918,0.014459415
4.61932E-5,4.504309494,0.086474786,0.202325368,0.024494143,0.014459415
5.01405E-5,4.754172494,0.093507979,0.197564772,0.025559105,0.014459415
5.41547E-5,5.004917162,0.100604645,0.193170374,0.027689031,0.014459415
5.73405E-5,5.250532497,0.106197416,0.189142177,0.027689031,0.014459415
6.1478E-5,5.500041775,0.113408907,0.18529708,0.029818956,0.014788038
6.58694E-5,5.75047066,0.120999214,0.181726632,0.033013845,0.014788038
7.06474E-5,6.003364906,0.129184102,0.178339284,0.038338658,0.018074269
7.49169E-5,6.251815888,0.136433227,0.175226586,0.039403621,0.018402892
7.95723E-5,6.507103542,0.144268995,0.172205438,0.041533546,0.018731515
8.34627E-5,6.751733982,0.150762538,0.16945894,0.042598509,0.02037463
8.72337E-5,7.00699773,0.157009828,0.166712442,0.043663472,0.022346369
9.01196E-5,7.25498673,0.161759697,0.164149043,0.044728435,0.02464673
9.41898E-5,7.504573176,0.168413283,0.161677195,0.044728435,0.02464673
9.87785E-5,7.756529005,0.175851218,0.159296896,0.047923323,0.026289846
1.01513E-4,8.006957823,0.180252064,0.157008148,0.050053248,0.026289846
1.05555E-4,8.255173841,0.186713048,0.154810949,0.051118211,0.027275715
1.12667E-4,8.506565839,0.197960825,0.152705301,0.053248136,0.027932961
1.14919E-4,8.757216449,0.201488549,0.150691202,0.057507987,0.029904699
1.18957E-4,9.002320255,0.20777719,0.148768653,0.05857295,0.032533684
1.23686E-4,9.257531616,0.21507917,0.146846105,0.061767838,0.037791653
1.27177E-4,9.508666007,0.220425076,0.145015106,0.061767838,0.037791653
1.3024E-4,9.753094906,0.225087316,0.143275657,0.063897764,0.038448899
1.34027E-4,10.004775175,0.230812044,0.141536208,0.064962726,0.038777522
1.3743E-4,10.250045515,0.235919988,0.139888309,0.066027689,0.038777522
1.40474E-4,10.500249515,0.240460274,0.13824041,0.067092652,0.038777522
1.43685E-4,10.756780103,0.245219848,0.136592511,0.071352503,0.039106145
1.47261E-4,11.004391927,0.250486957,0.135036162,0.073482428,0.04173513
1.50075E-4,11.25728892,0.254603922,0.133479813,0.075612354,0.04173513
1.54552E-4,11.500830502,0.261110219,0.132015014,0.076677316,0.044035491
1.57498E-4,11.750665507,0.26536014,0.130550215,0.077742279,0.044035491
1.63414E-4,12.008461573,0.273819562,0.129085416,0.080937167,0.04502136
1.66971E-4,12.256262132,0.278860041,0.127712167,0.083067093,0.045349984
1.70881E-4,12.510179102,0.284359933,0.126338918,0.084132055,0.046335853
1.73864E-4,12.751582103,0.288527961,0.125057219,0.087326944,0.047650345
1.7687E-4,13.014411581,0.292702476,0.12368397,0.090521832,0.05027933
1.80409E-4,13.264720458,0.297587177,0.12240227,0.094781683,0.05027933
1.85951E-4,13.503027584,0.305166908,0.121212121,0.096911608,0.050607953
1.91529E-4,13.767057125,0.312714784,0.119930422,0.097976571,0.050936576
1.96656E-4,14.000482743,0.319579153,0.118831823,0.097976571,0.050936576
2.04245E-4,14.261700565,0.329615162,0.117641674,0.097976571,0.051265199
2.09108E-4,14.510105873,0.335967983,0.116543074,0.099041534,0.053894183
2.14251E-4,14.76439153,0.342620852,0.115444475,0.100106496,0.053894183
