Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.90892E-12,0.000000001,0.000000003,0.999061385,0,0
2.97436E-12,0.000000003,0.000000004,0.998498217,0,0
3.82263E-12,0.00000001,0.000000006,0.996433265,0,0
6.42751E-12,0.000000025,0.000000009,0.993711282,0,0
1.54028E-11,0.000000101,0.000000023,0.98714098,0,0
2.77318E-11,0.000000251,0.000000041,0.980382955,0,0
8.57108E-11,0.000001004,0.000000127,0.966397597,0,0
2.07997E-10,0.000002501,0.000000307,0.956072836,0,0
5.57476E-10,0.000010037,0.000000823,0.936737376,0,0
1.06456E-9,0.000025039,0.000001573,0.918715975,0,0
1.81264E-9,0.000050005,0.000002678,0.902008635,0,0
3.10258E-9,0.00010026,0.000004583,0.882579313,0,0
6.86398E-9,0.000250007,0.000010139,0.852731369,0,0
1.22625E-8,0.000500745,0.000018113,0.827858081,0,0
2.09288E-8,0.001000563,0.000030914,0.799136475,0,0
4.39896E-8,0.002502331,0.000064976,0.753895251,0,0
7.79555E-8,0.005003829,0.000115144,0.714379576,0,0
1.40451E-7,0.010004799,0.000207443,0.670170828,0,0
3.35929E-7,0.025004922,0.000496089,0.607002065,0,0
6.11301E-7,0.050055632,0.000902565,0.556316876,0,0
1.10569E-6,0.100028546,0.001631917,0.500375446,0,0
2.12716E-6,0.200021212,0.003137164,0.439740942,0,0
3.11244E-6,0.30009141,0.004586942,0.40360428,0,0
4.077E-6,0.400175475,0.006004175,0.377604656,0,0
5.03764E-6,0.500329116,0.007413645,0.356861273,0.001501502,0
5.81428E-6,0.600167956,0.008551688,0.339590764,0.001501502,0
6.74116E-6,0.700231561,0.009908184,0.324666792,0.001501502,0
7.20074E-6,0.750405814,0.010580086,0.317908767,0.001501502,0
7.64484E-6,0.800142795,0.011228928,0.311620049,0.001501502,0
8.62231E-6,0.90029242,0.012655531,0.300075089,0.001501502,0
9.6023E-6,1.000630635,0.014083757,0.289750329,0.003003003,0
1.07835E-5,1.100264471,0.015802445,0.280551905,0.003003003,0
1.17735E-5,1.200632321,0.017240639,0.272198235,0.004504505,0.001976285
1.27365E-5,1.301117866,0.018637678,0.264501596,0.004504505,0.001976285
1.36767E-5,1.400415223,0.019999622,0.257461986,0.004504505,0.001976285
1.4944E-5,1.50027031,0.021832383,0.250891684,0.004504505,0.002470356
1.76687E-5,1.751045304,0.025761321,0.236437019,0.012012012,0.005928854
2.11327E-5,2.000537299,0.030733661,0.224328891,0.015015015,0.008399209
2.42438E-5,2.252158496,0.035177678,0.213910268,0.01951952,0.008893281
2.7838E-5,2.502348644,0.040286449,0.204899568,0.021021021,0.008893281
3.14445E-5,2.751547581,0.045385516,0.197015206,0.021021021,0.008893281
3.53754E-5,3.001443715,0.050912381,0.189975596,0.021021021,0.008893281
3.92106E-5,3.251764699,0.056273854,0.183686878,0.021021021,0.008893281
4.24716E-5,3.500010424,0.060808767,0.177961329,0.022522523,0.008893281
4.61504E-5,3.753322524,0.065898592,0.172611226,0.022522523,0.008893281
4.95207E-5,4.00206273,0.070537308,0.16773043,0.022522523,0.008893281
5.29209E-5,4.253244581,0.075193912,0.163131218,0.022522523,0.008893281
5.66521E-5,4.501198131,0.080276982,0.158907453,0.025525526,0.009387352
6.03403E-5,4.752985489,0.085273878,0.15487141,0.028528529,0.009881423
6.44587E-5,5.002337709,0.090821681,0.151116951,0.028528529,0.009881423
7.00443E-5,5.250487322,0.098292207,0.147644077,0.036036036,0.012351779
7.47416E-5,5.506024356,0.104527096,0.144358926,0.036036036,0.012351779
7.92747E-5,5.75241865,0.110503172,0.141355359,0.037537538,0.012351779
8.39829E-5,6.006297944,0.116667842,0.138445654,0.039039039,0.013339921
9.06048E-5,6.251329786,0.125265946,0.135817533,0.040540541,0.013833992
9.61059E-5,6.502120477,0.132345097,0.133283274,0.043543544,0.014328063
1.01015E-4,6.758511598,0.138614271,0.130842876,0.045045045,0.023221344
1.05408E-4,7.006977856,0.144184923,0.128590201,0.046546547,0.023221344
1.09184E-4,7.253967844,0.148946246,0.126431387,0.051051051,0.026185771
1.14247E-4,7.510851583,0.155286375,0.124272574,0.054054054,0.026679842
1.19667E-4,7.756103179,0.162022917,0.122301483,0.057057057,0.027173913
1.24486E-4,8.000094309,0.167966458,0.120424254,0.058558559,0.027173913
1.30872E-4,8.255496714,0.175778494,0.118547025,0.063063063,0.029644269
1.36655E-4,8.509146212,0.18278869,0.116763657,0.064564565,0.029644269
1.43687E-4,8.762166498,0.19123357,0.115074151,0.064564565,0.029644269
1.49139E-4,9.010838798,0.197720674,0.113478506,0.067567568,0.040019763
1.54085E-4,9.253428349,0.203560006,0.111976722,0.067567568,0.040019763
1.6182E-4,9.507445183,0.212608885,0.110474939,0.067567568,0.040019763
1.68321E-4,9.754399086,0.220133559,0.109067017,0.070570571,0.041996047
1.73828E-4,10.01091575,0.226452134,0.107659095,0.072072072,0.041996047
1.82338E-4,10.261206583,0.236114498,0.106345035,0.072072072,0.041996047
1.87008E-4,10.501583399,0.241365377,0.105124836,0.072072072,0.041996047
1.93742E-4,10.750412553,0.248875174,0.103904637,0.075075075,0.046442688
1.99521E-4,11.006543704,0.255258685,0.102684438,0.075075075,0.046442688
2.08454E-4,11.251495835,0.265021233,0.1015581,0.075075075,0.046442688
2.14328E-4,11.505629026,0.271371515,0.100431763,0.076576577,0.046936759
2.18593E-4,11.763376468,0.275947455,0.099305425,0.076576577,0.046936759
2.22816E-4,12.009252029,0.280449484,0.098272949,0.078078078,0.04743083
2.30782E-4,12.258614557,0.288866827,0.097240473,0.082582583,0.053853755
2.39881E-4,12.518700827,0.29836088,0.096207997,0.084084084,0.053853755
2.52922E-4,12.765275231,0.311747499,0.095269382,0.085585586,0.054347826
2.62549E-4,13.023400861,0.32146514,0.094330768,0.09009009,0.06027668
2.69732E-4,13.263498811,0.328627096,0.093486015,0.091591592,0.060770751
2.73017E-4,13.50775611,0.331876159,0.092641261,0.096096096,0.068675889
2.82775E-4,13.758694581,0.341438078,0.091796508,0.097597598,0.076086957
2.9012E-4,14.017829051,0.34854448,0.090951755,0.097597598,0.076086957
2.97659E-4,14.252443035,0.355758286,0.090200864,0.102102102,0.080039526
3.07586E-4,14.523592237,0.365137025,0.08935611,0.105105105,0.080039526
3.14876E-4,14.772239566,0.37193656,0.088605219,0.105105105,0.080039526
3.22405E-4,15.02809203,0.378882406,0.087854327,0.10960961,0.08201581
3.26111E-4,15.255204868,0.382273712,0.087197297,0.111111111,0.08201581
3.29993E-4,15.517684207,0.385805134,0.086446405,0.112612613,0.08201581
3.36174E-4,15.750884561,0.391387712,0.085789375,0.115615616,0.08201581
3.47779E-4,16.024535109,0.401731846,0.085038483,0.117117117,0.082509881
3.61356E-4,16.274344123,0.413610595,0.084381453,0.12012012,0.084486166
3.72685E-4,16.532122186,0.423341837,0.083724423,0.121621622,0.084980237
3.77727E-4,16.757090214,0.427620442,0.083161254,0.126126126,0.086462451
3.83907E-4,17.024151184,0.432821753,0.082504224,0.130630631,0.09041502
3.90101E-4,17.257587136,0.437987216,0.081941055,0.133633634,0.10770751
4.01498E-4,17.534238044,0.447369454,0.081284025,0.138138138,0.109189723
4.11811E-4,17.778549901,0.455724247,0.080720856,0.13963964,0.109189723
4.19156E-4,18.027394085,0.461597353,0.080157687,0.13963964,0.109189723
4.26454E-4,18.28115115,0.46737071,0.079594518,0.144144144,0.117094862
4.30901E-4,18.538934288,0.470858009,0.07903135,0.145645646,0.120059289
4.3817E-4,18.756969765,0.476508686,0.078562042,0.148648649,0.120059289
4.5034E-4,19.025078763,0.485835365,0.077998874,0.151651652,0.122035573
4.5729E-4,19.252469085,0.49108693,0.077529566,0.153153153,0.122035573
4.62932E-4,19.528902943,0.495310346,0.076966398,0.154654655,0.122035573
4.71595E-4,19.763239821,0.501727994,0.07649709,0.157657658,0.122529644
4.76159E-4,20.000176785,0.505075273,0.076027783,0.160660661,0.13784585
4.83521E-4,20.287749853,0.510428438,0.075464614,0.162162162,0.13784585
4.91925E-4,20.532898472,0.516468586,0.074995307,0.168168168,0.138339921
5.051E-4,20.782542634,0.52578735,0.074526,0.171171171,0.144268775
5.11378E-4,21.036967344,0.530164602,0.074056692,0.171171171,0.144268775
5.24198E-4,21.283583496,0.538978089,0.073587385,0.174174174,0.144762846
5.27354E-4,21.507749826,0.541122567,0.073211939,0.178678679,0.145256917
5.3105E-4,21.772521153,0.543620577,0.072742632,0.181681682,0.145256917
5.35506E-4,22.038931653,0.546615173,0.072273325,0.187687688,0.145750988
5.3695E-4,22.25340867,0.547581208,0.071897879,0.189189189,0.145750988
5.39522E-4,22.522781337,0.549296448,0.071428571,0.192192192,0.14673913
5.47489E-4,22.795303994,0.554569675,0.070959264,0.196696697,0.150197628
5.52704E-4,23.015341184,0.557987446,0.070583818,0.196696697,0.150197628
5.64105E-4,23.295354873,0.565368897,0.070114511,0.198198198,0.151679842
5.74109E-4,23.523455227,0.571744371,0.069739065,0.202702703,0.156126482
5.76365E-4,23.753368742,0.573169217,0.069363619,0.204204204,0.15958498
5.82059E-4,24.042914878,0.576744277,0.068894312,0.208708709,0.160573123
5.89226E-4,24.277228101,0.581201237,0.068518866,0.21021021,0.161067194
5.97847E-4,24.514603202,0.586501015,0.06814342,0.213213213,0.161067194
6.04175E-4,24.755430066,0.590348058,0.067767974,0.213213213,0.161067194
6.10957E-4,25.06017738,0.594431141,0.067298667,0.216216216,0.163043478
6.12189E-4,25.304830824,0.595168871,0.066923221,0.216216216,0.163043478
6.20682E-4,25.551990945,0.6002156,0.066547775,0.216216216,0.163043478
