Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.19946E-11,0.000000003,0.000000007,0.999503624,0,0
3.70103E-11,0.000000012,0.000000011,0.999205798,0,0
7.11971E-11,0.000000028,0.000000021,0.998907972,0,0
1.50394E-10,0.000000101,0.000000045,0.99831232,0,0
2.02137E-10,0.000000259,0.00000006,0.997418842,0,0
4.75733E-10,0.000001005,0.000000142,0.995334061,0,0
1.02524E-9,0.000002565,0.000000305,0.993348556,0,0
2.69773E-9,0.000010147,0.000000804,0.989278269,0,0
5.12677E-9,0.000025396,0.000001528,0.985406532,0,0
7.82831E-9,0.000050445,0.000002333,0.981634071,0,0
1.20304E-8,0.000100906,0.000003585,0.976670307,0,0
2.00933E-8,0.00025007,0.000005987,0.96753698,0,0
3.11199E-8,0.000501294,0.000009273,0.957808002,0,0
4.6592E-8,0.001002923,0.000013883,0.945100764,0,0
7.79316E-8,0.002506421,0.000023221,0.921175419,0,0
1.14202E-7,0.005005422,0.000034028,0.895165293,0,0
1.74507E-7,0.010014387,0.000051997,0.860121116,0,0
3.22007E-7,0.025010601,0.000095945,0.799166088,0,0
5.22475E-7,0.050027855,0.000155671,0.739501638,0,0
8.64784E-7,0.100031644,0.000257648,0.666931401,0,0
1.43817E-6,0.200101359,0.000428444,0.578477117,0,0
1.9521E-6,0.300056769,0.000581501,0.519904696,0,0
2.47547E-6,0.400081741,0.000737349,0.474833714,0,0
2.97922E-6,0.500105475,0.000887331,0.438399682,0,0
3.56722E-6,0.600306503,0.001062367,0.407922168,0,0
4.17809E-6,0.700224085,0.00124418,0.382408419,0,0
4.49126E-6,0.750023988,0.001337375,0.37099176,0,0
4.84966E-6,0.800046879,0.00144402,0.360369304,0,0
5.51493E-6,0.900302737,0.001641947,0.341109898,0,0
6.1043E-6,1.000229997,0.001817258,0.324034548,0,0
6.87252E-6,1.100416459,0.002045723,0.308646878,0,0
7.5297E-6,1.200675371,0.002241126,0.294847612,0,0
8.17598E-6,1.300290664,0.002433248,0.282239651,0,0
8.92019E-6,1.400301472,0.002654439,0.270624442,0,0
