Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
7.26342E-14,0.000000001,0,0.942342863,0,0
1.7432E-13,0.000000003,0,0.929637116,0,0
6.81221E-13,0.00000001,0.000000001,0.909423429,0,0
1.47325E-12,0.000000025,0.000000002,0.89565887,0,0
5.04007E-12,0.0000001,0.000000005,0.8706324,0,0
1.20396E-11,0.00000025,0.000000013,0.853017615,0,0
4.39813E-11,0.000001004,0.000000047,0.824718452,0,0
9.88003E-11,0.000002508,0.000000105,0.803927231,0,0
3.28449E-10,0.000010025,0.000000347,0.764558668,0,0
9.21609E-10,0.000025067,0.000000975,0.738473385,0,0
1.84092E-9,0.000050073,0.000001948,0.720281067,0,0
3.51414E-9,0.000100273,0.000003718,0.701414958,0,0
8.15988E-9,0.000250125,0.000008633,0.676003465,0,0
1.56944E-8,0.000500287,0.000016604,0.65463471,0,0
3.01887E-8,0.00100093,0.000031939,0.632880932,0,0
7.01761E-8,0.002504323,0.000074242,0.6016941,0,0
1.31409E-7,0.005010626,0.000139019,0.577148907,0,0
2.39077E-7,0.010001598,0.000252907,0.550678602,0,0
4.81852E-7,0.025002463,0.000509659,0.509673693,0,0
8.67728E-7,0.050060228,0.000917618,0.473096544,0,0
1.54308E-6,0.10007003,0.001631214,0.43199538,0,0
2.89271E-6,0.200105858,0.003055746,0.386755222,0,0
4.07207E-6,0.30039918,0.004298903,0.358841082,0,0
5.34632E-6,0.40017962,0.005640335,0.338338627,0,0.000283286
6.44668E-6,0.500400489,0.006797245,0.321975166,0,0.000283286
7.54364E-6,0.600158554,0.007949257,0.308114352,0,0.000283286
8.7152E-6,0.700194116,0.009178124,0.296274906,0,0.000283286
9.27896E-6,0.75035271,0.009768917,0.290884589,0,0.000283286
9.84903E-6,0.800956526,0.010365971,0.28578304,0,0.000283286
1.10163E-5,0.900290184,0.011587366,0.276638753,0,0.000283286
1.22325E-5,1.00004965,0.012858354,0.268360766,0.002531646,0.000283286
1.32821E-5,1.100458244,0.013953929,0.260756569,0.002531646,0.000283286
1.43831E-5,1.201063796,0.015101866,0.253729907,0.002531646,0.000283286
1.56442E-5,1.301447163,0.01641498,0.247280778,0.002531646,0.000566572
1.67425E-5,1.400516599,0.017557318,0.241409183,0.005063291,0.001133144
1.79081E-5,1.501083054,0.018768089,0.235826355,0.005063291,0.001133144
2.04774E-5,1.751910121,0.021431652,0.223216864,0.005063291,0.001133144
2.38027E-5,2.001505346,0.024868353,0.212339975,0.007594937,0.001133144
2.69923E-5,2.251889461,0.028153393,0.202810665,0.012658228,0.00878187
3.08062E-5,2.500418556,0.032066906,0.194532679,0.012658228,0.00878187
3.43305E-5,2.752071549,0.035669294,0.187120993,0.012658228,0.00878187
3.79205E-5,3.003712971,0.039325012,0.180383098,0.015189873,0.00878187
4.23429E-5,3.254201281,0.043809297,0.174415247,0.015189873,0.00878187
