Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.69986E-13,0.000000001,0,0.976328548,0,0
3.61488E-13,0.000000003,0,0.970624584,0,0
1.25361E-12,0.00000001,0.000000002,0.961593307,0,0
2.52669E-12,0.000000025,0.000000003,0.95379789,0,0
7.28165E-12,0.0000001,0.000000009,0.93877745,0,0
1.4655E-11,0.000000251,0.000000019,0.925087936,0,0
4.87734E-11,0.000001001,0.000000062,0.900465824,0,0
1.21564E-10,0.000002503,0.000000156,0.882118072,0,0
3.84781E-10,0.000010005,0.000000492,0.851887062,0,0
8.75917E-10,0.000025015,0.000001121,0.828025478,0,0
1.5204E-9,0.000050039,0.000001946,0.808061603,0,0
2.76526E-9,0.000100259,0.000003538,0.785245746,0,0
6.38901E-9,0.000250023,0.000008175,0.752162753,0,0
1.23317E-8,0.000500515,0.00001578,0.725639319,0,0
2.2978E-8,0.001000273,0.000029402,0.697880027,0,0
5.28593E-8,0.002500044,0.000067637,0.659473334,0,0
9.35429E-8,0.005006561,0.000119691,0.625915011,0,0
1.6982E-7,0.010012257,0.000217278,0.589124441,0,0
3.66483E-7,0.025001158,0.000468843,0.53398612,0,0
6.41962E-7,0.050025021,0.000821119,0.486072821,0,0
1.28478E-6,0.100094278,0.00164266,0.434737142,0,0
2.57182E-6,0.200130187,0.003285498,0.382831068,0,0
3.87706E-6,0.30035729,0.004948813,0.353170453,0,0
5.22424E-6,0.400422426,0.006662664,0.332065786,0,0
6.45719E-6,0.500423462,0.0082286,0.315809488,0,0
7.77125E-6,0.600273392,0.009894832,0.302405172,0,0
9.21975E-6,0.700880085,0.011728299,0.291187375,0,0
9.82145E-6,0.750311514,0.012488913,0.28624394,0,0
1.03341E-5,0.800585919,0.01313647,0.281490636,0,0
1.17103E-5,0.900518708,0.014872883,0.272839624,0,0.000408163
1.30499E-5,1.000777269,0.016560085,0.265139272,0.003773585,0.000408163
1.41092E-5,1.100034897,0.017892177,0.258199449,0.003773585,0.000408163
1.50376E-5,1.200932224,0.019058208,0.25163989,0.003773585,0.000816327
1.60577E-5,1.300149441,0.020337879,0.245555661,0.003773585,0.000816327
1.73588E-5,1.401648399,0.021967467,0.239756631,0.003773585,0.00122449
1.86273E-5,1.500579825,0.023553772,0.234527997,0.003773585,0.00122449
2.17421E-5,1.752066936,0.027437757,0.222739804,0.003773585,0.00122449
2.52115E-5,2.001496525,0.031745877,0.212662801,0.003773585,0.00122449
2.78955E-5,2.250462953,0.035065632,0.20372659,0.005660377,0.003265306
3.2119E-5,2.501729492,0.04026648,0.19574104,0.011320755,0.010204082
3.51787E-5,2.750716641,0.044016693,0.188706151,0.013207547,0.011020408
3.78572E-5,3.003015972,0.047287527,0.182146592,0.01509434,0.013469388
4.12446E-5,3.253059044,0.051408248,0.176157429,0.016981132,0.014285714
4.52678E-5,3.503138098,0.056279046,0.170643597,0.016981132,0.014285714
4.87808E-5,3.752360376,0.06051178,0.165605096,0.016981132,0.014285714
5.20257E-5,4.003696124,0.064404698,0.160851792,0.018867925,0.014285714
5.53281E-5,4.251847981,0.068349957,0.156478753,0.020754717,0.015510204
5.8182E-5,4.501816126,0.071746038,0.152295846,0.020754717,0.015510204
6.19235E-5,4.753521561,0.076179552,0.148303071,0.020754717,0.015918367
6.59309E-5,5.002458213,0.080904647,0.144595494,0.020754717,0.015918367
6.90584E-5,5.252744564,0.084575502,0.141078049,0.020754717,0.015918367
7.18713E-5,5.500061241,0.087864464,0.137750737,0.022641509,0.015918367
7.53109E-5,5.75033142,0.091870233,0.13451849,0.022641509,0.016326531
8.0622E-5,6.007514195,0.098021107,0.13138131,0.028301887,0.036734694
8.43438E-5,6.254061632,0.102306493,0.128529328,0.030188679,0.036734694
9.02762E-5,6.507413758,0.109095184,0.125772412,0.032075472,0.045714286
9.53126E-5,6.756605912,0.11481831,0.123205628,0.033962264,0.049795918
9.90814E-5,7.009412898,0.11907687,0.12073391,0.035849057,0.050204082
1.03477E-4,7.252589598,0.124018206,0.118452324,0.037735849,0.050612245
1.09814E-4,7.508765267,0.131092403,0.116170739,0.037735849,0.051020408
1.15206E-4,7.756971359,0.137066443,0.114079285,0.041509434,0.051428571
1.19051E-4,8.003451062,0.141301614,0.112082898,0.043396226,0.051836735
1.23891E-4,8.259170715,0.146603238,0.11008651,0.043396226,0.051836735
1.29248E-4,8.512115605,0.152433121,0.108185189,0.043396226,0.051836735
1.36397E-4,8.752858003,0.16015123,0.106473999,0.050943396,0.053061224
1.42585E-4,9.003396506,0.166775794,0.10476281,0.054716981,0.054285714
1.52397E-4,9.255592914,0.17717152,0.103146687,0.064150943,0.059183673
1.58759E-4,9.504568563,0.183842596,0.10162563,0.067924528,0.059591837
1.63886E-4,9.762333346,0.189179745,0.100104573,0.073584906,0.066122449
1.69933E-4,10.012783849,0.195429963,0.098678582,0.077358491,0.067755102
1.79486E-4,10.2575197,0.205204623,0.097347657,0.079245283,0.071020408
1.85114E-4,10.513576231,0.210908524,0.096016732,0.081132075,0.071020408
1.8926E-4,10.757516734,0.215083453,0.094780873,0.081132075,0.071428571
1.94122E-4,11.006332333,0.219951515,0.093545014,0.086792453,0.074693878
2.00723E-4,11.262441759,0.226512619,0.092309155,0.086792453,0.074693878
2.04572E-4,11.505957315,0.230312568,0.091168362,0.088679245,0.075510204
2.0776E-4,11.753765847,0.233445697,0.090027569,0.096226415,0.08244898
2.14953E-4,12.007808664,0.24046943,0.088886776,0.096226415,0.08244898
2.22317E-4,12.270426188,0.247592473,0.087745983,0.096226415,0.08244898
2.29394E-4,12.518787722,0.254375863,0.086700257,0.096226415,0.08244898
2.32709E-4,12.750294896,0.257532002,0.085749596,0.1,0.084489796
2.45387E-4,13.013619136,0.269479897,0.084703869,0.1,0.084489796
2.49132E-4,13.260809254,0.272972068,0.083753208,0.1,0.084489796
2.55829E-4,13.513148366,0.279175496,0.082802548,0.101886792,0.084897959
2.63149E-4,13.773485234,0.285896101,0.081851887,0.101886792,0.084897959
2.69401E-4,14.012582416,0.291586165,0.080996292,0.101886792,0.084897959
2.75757E-4,14.256972272,0.297324303,0.080140698,0.101886792,0.084897959
2.83686E-4,14.509430548,0.30441724,0.079285103,0.10754717,0.096326531
2.88842E-4,14.767445102,0.308991747,0.078429509,0.10754717,0.096326531
2.96459E-4,15.001419399,0.315693855,0.07766898,0.10754717,0.096326531
3.04587E-4,15.273039932,0.322774108,0.076813385,0.10754717,0.096326531
